Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 [138] norm2u3 (real.c:825 @ 402500) [19] resid (real.c:537 @ 4057c1) [24] vranlc (randdp.c:131 @ 40a743)
 [156] psinv (real.c:449 @ 405d50) [22] resid (real.c:530 @ 4057c5) [91] vranlc (randdp.c:131 @ 40a74d)
  [39] psinv (real.c:460 @ 405fa8) [23] resid (real.c:537 @ 4057ca) [36] vranlc (randdp.c:132 @ 40a751)
  [40] psinv (real.c:461 @ 406068) [6] resid (real.c:538 @ 4057ce) [20] vranlc (randdp.c:133 @ 40a765)
  [81] psinv (real.c:462 @ 406074) [35] resid (real.c:529 @ 4057d6) [37] vranlc (randdp.c:134 @ 40a771)
  [60] psinv (real.c:463 @ 406082) [111] resid (real.c:528 @ 4057db) [10] vranlc (randdp.c:135 @ 40a77a)
   [4] psinv (real.c:464 @ 406088) [71] resid (real.c:521 @ 40587d) [26] vranlc (randdp.c:136 @ 40a78e)
  [58] psinv (real.c:462 @ 406093) [112] resid (real.c:528 @ 4059f2) [38] vranlc (randdp.c:137 @ 40a79b)
  [61] psinv (real.c:461 @ 40609b) [113] resid (real.c:537 @ 405a39) [160] wtime_ (wtime.c:8 @ 401800)
  [82] psinv (real.c:463 @ 4060a3) [114] resid (real.c:538 @ 405a52) [152] zran3 (real.c:977 @ 403570)
   [8] psinv (real.c:464 @ 4060ac) [143] resid (real.c:538 @ 405a66) [126] zran3 (real.c:969 @ 40357a)
  [55] psinv (real.c:463 @ 4060b4) [144] resid (real.c:537 @ 405a71) [66] zran3 (real.c:970 @ 403587)
 [102] psinv (real.c:460 @ 4060bc) [115] resid (real.c:537 @ 405a8e)
  [30] psinv (real.c:466 @ 406163) [145] resid (real.c:530 @ 405aa2)
